,attempted_passes,boxscore_index,completed_passes,completion_percentage,fumbles,fumbles_lost,fumbles_lost_per_attempt,fumbles_per_attempt,interceptions_per_attempt,interceptions_per_completion,interceptions_thrown,longest_pass,longest_rush,passing_TDs_per_attempt,passing_TDs_per_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,passing_yards_per_completion,quarterback_rating,rush_attempts,rush_touchdowns,rush_yards,times_sacked,times_sacked_per_attempt,yards_lost_from_sacks
BradTo00,40,201012120chi,27,67.5,0,0,0.0,0.0,0.0,0.0,0,59,0,0.05,0.07407407407407407,2,369,9.225,13.666666666666666,113.4,0,0,0,3,0.075,18
BradTo00,24,201012190nwe,15,62.5,1,0,0.0,0.041666666666666664,0.0,0.0,0,35,0,0.08333333333333333,0.13333333333333333,2,163,6.791666666666667,10.866666666666667,110.2,0,0,0,3,0.125,27
BradTo00,27,201012260buf,15,55.55555555555556,0,0,0.0,0.0,0.0,0.0,0,23,7,0.1111111111111111,0.2,3,140,5.185185185185185,9.333333333333334,107.0,3,0,13,1,0.037037037037037035,9
BradTo00,16,201101020nwe,10,62.5,0,0,0.0,0.0,0.0,0.0,0,40,0,0.125,0.2,2,199,12.4375,19.9,145.6,0,0,0,0,0.0,0
BradTo00,45,201101160nwe,29,64.44444444444444,1,0,0.0,0.022222222222222223,0.022222222222222223,0.034482758620689655,1,37,3,0.044444444444444446,0.06896551724137931,2,299,6.644444444444445,10.310344827586206,89.0,2,0,2,5,0.1111111111111111,40
BradTo00,48,201109120mia,32,66.66666666666666,0,0,0.0,0.0,0.020833333333333332,0.03125,1,99,3,0.08333333333333333,0.125,4,517,10.770833333333334,16.15625,121.6,1,0,3,1,0.020833333333333332,1
BradTo00,40,201109180nwe,31,77.5,0,0,0.0,0.0,0.0,0.0,0,33,4,0.075,0.0967741935483871,3,423,10.575,13.64516129032258,135.7,2,0,3,2,0.05,13
BradTo00,45,201109250buf,30,66.66666666666666,0,0,0.0,0.0,0.08888888888888889,0.13333333333333333,4,33,5,0.08888888888888889,0.13333333333333333,4,387,8.6,12.9,86.1,1,0,5,0,0.0,0
BradTo00,30,201110020rai,16,53.333333333333336,0,0,0.0,0.0,0.0,0.0,0,32,-1,0.06666666666666667,0.125,2,226,7.533333333333333,14.125,100.1,1,0,-1,1,0.03333333333333333,0
BradTo00,33,201110090nwe,24,72.72727272727273,0,0,0.0,0.0,0.030303030303030304,0.041666666666666664,1,73,3,0.030303030303030304,0.041666666666666664,1,321,9.727272727272727,13.375,100.7,1,0,3,4,0.12121212121212122,27
BradTo00,41,201110160nwe,27,65.85365853658537,0,0,0.0,0.0,0.04878048780487805,0.07407407407407407,2,45,8,0.04878048780487805,0.07407407407407407,2,289,7.048780487804878,10.703703703703704,82.3,4,0,17,3,0.07317073170731707,19
BradTo00,35,201110300pit,24,68.57142857142857,1,0,0.0,0.02857142857142857,0.0,0.0,0,23,0,0.05714285714285714,0.08333333333333333,2,198,5.6571428571428575,8.25,101.8,0,0,0,3,0.08571428571428572,28
BradTo00,49,201111060nwe,28,57.14285714285714,1,1,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.07142857142857142,2,28,5,0.04081632653061224,0.07142857142857142,2,342,6.979591836734694,12.214285714285714,75.4,1,0,5,2,0.04081632653061224,10
BradTo00,39,201111130nyj,26,66.66666666666666,1,0,0.0,0.02564102564102564,0.0,0.0,0,53,3,0.07692307692307693,0.11538461538461539,3,329,8.435897435897436,12.653846153846153,118.4,3,0,2,0,0.0,0
BradTo00,27,201111210nwe,15,55.55555555555556,1,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0,52,8,0.07407407407407407,0.13333333333333333,2,234,8.666666666666666,15.6,109.2,2,0,10,3,0.1111111111111111,11
